question_id,question,answer_preview,cluster,rank,chunk_id,policy_name,page,section,match_score,chunk_preview,relevant
q001,What happens if I submit my coursework up to 24 hours late without extenuating circumstances?,The mark for the assessment will be capped at the minimum pass mark at 50%,Late Submission,1,0c32729f,Academic Regulations and Policies Handbook 2025 26 English Nov25,80.0,Late Submission of Coursework ,17,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 7 Late Submission of Coursework    7.1 Students,1
q001,What happens if I submit my coursework up to 24 hours late without extenuating circumstances?,The mark for the assessment will be capped at the minimum pass mark at 50%,Late Submission,2,a8941c73,COMSC School Handbook 25 26,12.0,Marking ,17,"COMSC School Handbook 25 26 Section 4.8 Marking  Most assessment tasks require academic and/or professional judgement, w",1
q001,What happens if I submit my coursework up to 24 hours late without extenuating circumstances?,The mark for the assessment will be capped at the minimum pass mark at 50%,Late Submission,3,0d7a43ea,Extenuating Circumstances Procedure for Taught and Undergraduate Students,16.0,,17,Exam or TimeLimited  Assessment  An assessment completed in controlled conditions that lasts up to 48  hours. Group work,0
q001,What happens if I submit my coursework up to 24 hours late without extenuating circumstances?,The mark for the assessment will be capped at the minimum pass mark at 50%,Late Submission,4,9b6682b4,Extenuating Circumstances Procedure for Taught and Undergraduate Students,13.0,Glossary of Terms ,16,Extenuating Circumstances Procedure for Taught and Undergraduate Students Section 8 Glossary of Terms  Term  Definition ,0
q001,What happens if I submit my coursework up to 24 hours late without extenuating circumstances?,The mark for the assessment will be capped at the minimum pass mark at 50%,Late Submission,5,f4f24ac2,Academic Regulations and Policies Handbook 2025 26 English Nov25,37.0,Compulsory fail - is where a module has been marked as failed even ,12,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 2.8 Compulsory fail - is where a module has bee,0
q002,What mark will I receive if I submit coursework more than 24 hours after the deadline without extenu,A mark of 0 will be given for the assessment.,Late Submission,1,a8941c73,COMSC School Handbook 25 26,12.0,Marking ,12,"COMSC School Handbook 25 26 Section 4.8 Marking  Most assessment tasks require academic and/or professional judgement, w",1
q002,What mark will I receive if I submit coursework more than 24 hours after the deadline without extenu,A mark of 0 will be given for the assessment.,Late Submission,2,0d7a43ea,Extenuating Circumstances Procedure for Taught and Undergraduate Students,16.0,,12,Exam or TimeLimited  Assessment  An assessment completed in controlled conditions that lasts up to 48  hours. Group work,1
q002,What mark will I receive if I submit coursework more than 24 hours after the deadline without extenu,A mark of 0 will be given for the assessment.,Late Submission,3,11955df7,Extenuating Circumstances Procedure for Taught and Undergraduate Students,10.0,,10,Cardiff University Extenuating Circumstances Procedure v2 09/25  The Extenuating Circumstances Group will meet regularly,0
q002,What mark will I receive if I submit coursework more than 24 hours after the deadline without extenu,A mark of 0 will be given for the assessment.,Late Submission,4,0c32729f,Academic Regulations and Policies Handbook 2025 26 English Nov25,80.0,Late Submission of Coursework ,9,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 7 Late Submission of Coursework    7.1 Students,0
q002,What mark will I receive if I submit coursework more than 24 hours after the deadline without extenu,A mark of 0 will be given for the assessment.,Late Submission,5,0e3def0a,Academic Regulations and Policies Handbook 2025 26 English Nov25,80.0,If the assessment is submitted more than 24 hours after the ,9,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 7.2 If the assessment is submitted more than 24,0
q003,Is the late submission penalty different for undergraduate and postgraduate taught students?,"No, the same late submission policy applies to all taught programmes. Coursework",Late Submission,1,0d7a43ea,Extenuating Circumstances Procedure for Taught and Undergraduate Students,16.0,,32,Exam or TimeLimited  Assessment  An assessment completed in controlled conditions that lasts up to 48  hours. Group work,1
